1.00000 0.00000
0.99708 0.00007
0.98934 0.00026
0.97535 0.00087
0.95647 0.00211
0.93251 0.00414
0.90415 0.00699
0.87157 0.01071
0.83457 0.01526
0.79389 0.02054
0.75000 0.02637
0.70337 0.03250
0.65451 0.03872
0.60396 0.04474
0.55226 0.05032
0.50000 0.05523
0.44774 0.05928
0.39604 0.06234
0.34549 0.06429
0.29663 0.06504
0.25000 0.06449
0.20611 0.06258
0.16543 0.05925
0.12843 0.05458
0.09549 0.04867
0.06699 0.04168
0.04323 0.03382
0.02447 0.02533
0.01093 0.01646
0.00274 0.00767
0.00000 0.00070
0.00245 -0.00505
0.01095 -0.01007
0.02450 -0.01451
0.04323 -0.01853
0.06699 -0.02203
0.09549 -0.02493
0.12843 -0.02723
0.16543 -0.02902
0.20611 -0.03029
0.25000 -0.03108
0.29663 -0.03148
0.34549 -0.03154
0.39604 -0.03127
0.44774 -0.03070
0.50000 -0.02983
0.55226 -0.02867
0.60396 -0.02722
0.65451 -0.02545
0.70337 -0.02338
0.75000 -0.02105
0.79389 -0.01855
0.83457 -0.01594
0.87157 -0.01324
0.90451 -0.01051
0.93301 -0.00783
0.95677 -0.00538
0.97553 -0.00325
0.98907 -0.00153
0.99714 -0.00044
1.00000 0.00000
