
1.00001 0.01289
1.00000 -0.00220
0.90685 -0.01037
0.82379 -0.01559
0.66600 -0.02191
0.36937 -0.02191
0.32507 -0.02084
0.23031 -0.02084
0.12524 -0.01714
0.05774 -0.01476
0.04463 -0.01405
0.02633 -0.01283
0.01405 -0.01179
0.00832 -0.01043
0.00396 -0.00732
0.00038 -0.00340
0.00000 0.00006
0.00178 0.00464
0.00890 0.01282
0.02058 0.02265
0.03364 0.03239
0.04610 0.03943
0.05918 0.04565
0.09375 0.05757
0.12627 0.06604
0.14699 0.07083
0.17715 0.07547
0.21816 0.07984
0.24263 0.08147
0.28229 0.08271
0.32180 0.08147
0.34855 0.08048
0.35967 0.07965
0.41276 0.07386
0.45428 0.06933
0.51914 0.06225
0.53223 0.06042
0.72927 0.03843
0.74619 0.03684
1.00000 0.01289
