wisel
1.0000	0.0066
0.9999	0.0060
0.9994	0.0080
0.9989	0.0100
0.9986	0.0121
0.9980	0.0141
0.9969	0.0158
0.9952	0.0170
0.9937	0.0184
0.9922	0.0198
0.9904	0.0209
0.9889	0.0222
0.9874	0.0236
0.9856	0.0247
0.9840	0.0259
0.9824	0.0272
0.9806	0.0283
0.9792	0.0298
0.9776	0.0311
0.9758	0.0321
0.9743	0.0335
0.9726	0.0347
0.9709	0.0359
0.9695	0.0374
0.9679	0.0387
0.9662	0.0398
0.9647	0.0413
0.9629	0.0424
0.9613	0.0437
0.9596	0.0448
0.9578	0.0457
0.9559	0.0466
0.9540	0.0476
0.9526	0.0491
0.9509	0.0503
0.9491	0.0512
0.9472	0.0521
0.9453	0.0530
0.9434	0.0537
0.9414	0.0543
0.9394	0.0550
0.9376	0.0558
0.9357	0.0566
0.9338	0.0574
0.9318	0.0582
0.9299	0.0590
0.9281	0.0599
0.9262	0.0608
0.9244	0.0617
0.9224	0.0623
0.9204	0.0627
0.9184	0.0631
0.9163	0.0635
0.9143	0.0640
0.9123	0.0645
0.9103	0.0651
0.9083	0.0655
0.9063	0.0660
0.9043	0.0666
0.9024	0.0671
0.9004	0.0676
0.8984	0.0682
0.8964	0.0687
0.8944	0.0691
0.8923	0.0696
0.8903	0.0701
0.8883	0.0705
0.8863	0.0709
0.8843	0.0713
0.8823	0.0718
0.8803	0.0723
0.8783	0.0728
0.8762	0.0732
0.8742	0.0736
0.8722	0.0741
0.8702	0.0745
0.8681	0.0748
0.8661	0.0752
0.8641	0.0755
0.8620	0.0758
0.8600	0.0760
0.8579	0.0763
0.8559	0.0766
0.8538	0.0768
0.8518	0.0770
0.8497	0.0773
0.8477	0.0775
0.8456	0.0777
0.8436	0.0779
0.8415	0.0781
0.8395	0.0782
0.8374	0.0784
0.8353	0.0785
0.8333	0.0787
0.8312	0.0788
0.8292	0.0789
0.8271	0.0791
0.8250	0.0792
0.8230	0.0793
0.8209	0.0794
0.8189	0.0795
0.8168	0.0797
0.8147	0.0798
0.8127	0.0799
0.8106	0.0800
0.8086	0.0802
0.8065	0.0803
0.8044	0.0804
0.8024	0.0805
0.8003	0.0806
0.7983	0.0807
0.7962	0.0808
0.7941	0.0809
0.7921	0.0810
0.7900	0.0811
0.7879	0.0811
0.7859	0.0812
0.7838	0.0813
0.7818	0.0813
0.7797	0.0814
0.7776	0.0814
0.7756	0.0815
0.7735	0.0816
0.7714	0.0816
0.7694	0.0816
0.7673	0.0817
0.7653	0.0817
0.7632	0.0817
0.7611	0.0818
0.7591	0.0818
0.7570	0.0818
0.7549	0.0818
0.7529	0.0818
0.7508	0.0818
0.7488	0.0817
0.7467	0.0817
0.7446	0.0817
0.7426	0.0816
0.7405	0.0816
0.7384	0.0816
0.7364	0.0815
0.7343	0.0814
0.7323	0.0814
0.7302	0.0813
0.7281	0.0813
0.7261	0.0812
0.7240	0.0811
0.7219	0.0810
0.7199	0.0809
0.7178	0.0808
0.7158	0.0807
0.7137	0.0806
0.7116	0.0805
0.7096	0.0804
0.7075	0.0803
0.7055	0.0802
0.7034	0.0801
0.7013	0.0799
0.6993	0.0798
0.6972	0.0797
0.6952	0.0795
0.6931	0.0794
0.6910	0.0792
0.6890	0.0791
0.6869	0.0789
0.6849	0.0787
0.6828	0.0786
0.6808	0.0784
0.6787	0.0783
0.6766	0.0781
0.6746	0.0779
0.6725	0.0778
0.6705	0.0776
0.6684	0.0774
0.6664	0.0772
0.6643	0.0770
0.6623	0.0769
0.6602	0.0767
0.6582	0.0765
0.6561	0.0763
0.6540	0.0760
0.6520	0.0758
0.6499	0.0756
0.6479	0.0754
0.6458	0.0751
0.6438	0.0749
0.6417	0.0747
0.6397	0.0744
0.6376	0.0742
0.6356	0.0739
0.6336	0.0736
0.6315	0.0734
0.6295	0.0731
0.6274	0.0729
0.6254	0.0726
0.6233	0.0723
0.6213	0.0720
0.6192	0.0718
0.6172	0.0715
0.6151	0.0712
0.6131	0.0710
0.6110	0.0707
0.6090	0.0705
0.6069	0.0702
0.6049	0.0700
0.6029	0.0697
0.6008	0.0695
0.5988	0.0693
0.5967	0.0690
0.5947	0.0688
0.5926	0.0686
0.5906	0.0683
0.5885	0.0681
0.5865	0.0678
0.5844	0.0676
0.5824	0.0673
0.5803	0.0670
0.5783	0.0668
0.5762	0.0665
0.5742	0.0662
0.5721	0.0660
0.5701	0.0657
0.5680	0.0654
0.5660	0.0651
0.5640	0.0648
0.5619	0.0645
0.5599	0.0643
0.5578	0.0640
0.5558	0.0637
0.5537	0.0634
0.5517	0.0631
0.5497	0.0629
0.5476	0.0626
0.5456	0.0623
0.5435	0.0620
0.5415	0.0617
0.5394	0.0614
0.5374	0.0612
0.5354	0.0609
0.5333	0.0606
0.5313	0.0603
0.5292	0.0599
0.5272	0.0596
0.5252	0.0593
0.5231	0.0590
0.5211	0.0587
0.5190	0.0584
0.5170	0.0580
0.5150	0.0577
0.5129	0.0574
0.5109	0.0571
0.5089	0.0567
0.5068	0.0564
0.5048	0.0561
0.5027	0.0558
0.5007	0.0554
0.4987	0.0551
0.4966	0.0548
0.4946	0.0545
0.4925	0.0542
0.4905	0.0539
0.4885	0.0535
0.4864	0.0532
0.4844	0.0529
0.4823	0.0526
0.4803	0.0523
0.4783	0.0520
0.4762	0.0516
0.4742	0.0513
0.4722	0.0510
0.4701	0.0507
0.4681	0.0503
0.4660	0.0500
0.4640	0.0497
0.4620	0.0494
0.4599	0.0490
0.4579	0.0487
0.4559	0.0484
0.4538	0.0481
