ellipse.svg
    1.00000     0.000
    0.99400     0.117
    0.97600     0.230
    0.94700     0.339
    0.90600     0.439
    0.85600     0.528
    0.79600     0.604
    0.73000     0.665
    0.65700     0.710
    0.58100     0.738
    0.50300     0.747
    0.42500     0.739
    0.34800     0.712
    0.27600     0.667
    0.20800     0.606
    0.14900     0.530
    0.09700     0.442
    0.05600     0.342
    0.02500     0.234
    0.00700     0.121
    0.00000     0.004
    0.00600     -0.113
    0.02400     -0.226
    0.05300     -0.335
    0.09400     -0.435
    0.14400     -0.524
    0.20400     -0.600
    0.27000     -0.661
    0.34300     -0.706
    0.41900     -0.734
    0.49700     -0.743
    0.57500     -0.735
    0.65200     -0.708
    0.72400     -0.663
    0.79200     -0.602
    0.85100     -0.527
    0.90300     -0.438
    0.94400     -0.338
    0.97500     -0.230
    0.99300     -0.117
    1.00000     0.000
