u.svg
    1.00000     0.000
    0.99900     0.047
    0.99800     0.108
    0.99700     0.168
    0.99600     0.248
    0.99500     0.309
    0.99400     0.369
    0.99300     0.410
    0.94400     0.410
    0.89400     0.410
    0.84500     0.410
    0.79600     0.410
    0.74600     0.410
    0.69700     0.410
    0.64800     0.410
    0.59800     0.410
    0.54900     0.410
    0.50000     0.410
    0.45000     0.410
    0.40100     0.410
    0.35200     0.410
    0.30200     0.410
    0.25300     0.410
    0.20400     0.410
    0.15400     0.410
    0.10500     0.410
    0.05600     0.410
    0.00600     0.369
    0.00500     0.287
    0.00400     0.225
    0.00300     0.164
    0.00200     0.102
    0.00100     0.041
    0.00000     0.020
    0.00000     -0.000
    0.00600     -0.078
    0.02500     -0.154
    0.05500     -0.227
    0.09600     -0.294
    0.14700     -0.353
    0.20600     -0.404
    0.27300     -0.445
    0.34600     -0.475
    0.42200     -0.493
    0.50000     -0.500
    0.57800     -0.493
    0.65400     -0.475
    0.72700     -0.445
    0.79400     -0.404
    0.85300     -0.353
    0.90400     -0.294
    0.94500     -0.227
    0.97500     -0.154
    0.99400     -0.078
    1.00000     0.000
